,policy_name,policy_title,jurisdiction,policy_instrument,sector,policy_description,policy_type,policy_status,decision_date,start_date,end_date,high_impact,policy_objective,last_update,Scope,Ambition,Implementation,Innovation,Total Score
77,Energy Savings Opportunity Scheme (ESOS),Energy Savings Opportunity Scheme (ESOS) United Kingdom (2014),Country,"Regulatory Instruments, Monitoring",Industry,ESOS is a mandatory energy assessment scheme for organisations in the UK that meet the qualification criteria. The Environment Agency is the UK scheme administrator.,"Energy efficiency, Energy service demand reduction and resource efficiency",In force,2014,,,,Mitigation,01/01/2022,5,2.5,4,3,3.45
78,Energy Security Plan,Energy Security Plan United Kingdom (2023),Country,"Policy support, Strategic planning",Electricity and heat,"The government aims to enhance the UK's energy independence, security, and resilience. UK is emphasizing energy efficiency and building out a low-cost, low-carbon energy system to diminish reliance on fossil fuels. Still, it remains committed to maximizing oil and gas production in the North Sea.","Energy efficiency, Other low-carbon technologies and fuel switch, Renewables",In force,2023,,,,Mitigation,22/02/2024,2,2.5,3,4,2.95
79,Energy Technologies Institute,Energy Technologies Institute United Kingdom (2007),Country,"Policy support, Institutional creation, Research & Development and Deployment (RD&D), Negotiated agreements (public-private sector)","Electricity and heat, Renewables",,"Renewables, Energy efficiency",In force,2007,,,Unknown,Mitigation,,5,2,5,3,3.5
80,Energy Technology List,Energy Technology List United Kingdom (2017),Country,Tax relief,"Buildings, Appliances","The Energy Technology List is a UK government-managed list of energy-efficient plant and machinery, such as boilers, electric motors, and air conditioning and refrigeration systems that qualify for tax relief under the the Enhanced Capital Allowance tax scheme for businesses. For a product to be on the ETL, it must meet specific energy-saving or energy-efficient criteria. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,In force,2017,,,Unknown,Mitigation,,3,3,3,1,2.4
81,,,,,,,,,,,,,,,2.5,2,3,2,2.3
82,,,,,,,,,,,,,,,2.5,2.5,2,3,2.55
83,,,,,,,,,,,,,,,2.5,2.5,2,2,2.25
84,Energy White Paper,Energy White Paper United Kingdom (2020),Country,"Climate strategy, Policy support, Strategic planning, GHG reduction target","Buildings, Electricity and heat, Industry, Transport","The Energy White Paper puts in place a strategy for the wider energy system that transforms UK's energy and supports green recovery. The main points of the strategy is to transform the energy system by moving away from coal and investing in clean sources for energy supply, such offshore wind energy, pledging to generate carbon-free electricity by 2050. The document outlines investment in technologies as Carbon Capture and Storage (CCS), hydrogen and electric vehicles to decarbonise industry and transport sector. In the building sector, a gradual move away from fossil fuel boilers replace such appliances for lower carbon intensive alternatives. Finally, the document lays out a plan to establish the UK-ETS in order to replace the EU-ETS.","Energy efficiency, Energy service demand reduction and resource efficiency, Other low-carbon technologies and fuel switch, Renewables",In force,2020,2021,,High,Mitigation,01/05/2021,4,2,2,2,2.4
85,England Trees Action Plan 2021 to 2024,England Trees Action Plan 2021 to 2024 United Kingdom (2021),Country,Target,"Agriculture and forestry, Forestry",The England Trees Action Plan 2021 to 2024 sets out the government’s long-term vision for the treescape it wants to see in England by 2050 and beyond. The plan provides a strategic framework for implementing the Nature for Climate Fund and outlines over 80 policy actions the government is taking over this Parliament to help deliver this vision.,Non-energy use,In force,2021,,,High,Mitigation,27/04/2022,5,3,5,4,4.1
86,Enhanced Capital Allowances (ECA) - Energy Technology List,Enhanced Capital Allowances (ECA) - Energy Technology List United Kingdom (2001),Country,Tax relief,"Industry, Buildings, Appliances",,Energy efficiency,In force,2001,,,Unknown,Mitigation,,2,5,3,4,3.7
87,Environment Act,Environment Act United Kingdom (2021),Country,"Regulatory Instruments, Target","Agriculture and forestry, Industry","A Bill to make provision about targets, plans and policies for improving the natural environment; for statements and reports about environmental protection; for the Office for Environmental Protection; about waste and resource efficiency; about air quality; for the recall of products that fail to meet environmental standards; about water; about nature and biodiversity; for conservation covenants; about the regulation of chemicals; and for connected purposes.
Includes provisions for fines for the importation of products or commodities linked to illegal deforestation.",Non-energy use,In force,2021,,,,"Adaptation, Land use, Mitigation",08/04/2022,3,2.5,5,1,2.65
88,Environmental Improvement Plan 2023,Environmental Improvement Plan 2023 United Kingdom (2023),Country,"Policy support, Strategic planning","Agriculture and forestry, Industry, Fluorinated gases, Waste CH4","The Environmental Improvement Plan 2023, mandated by the Environment Act 2021, builds upon the 25 Year Environment Plan by outlining specific targets, commitments, and actions towards achieving its 10 goals, thus reinforcing the long-term vision for environmental health and sustainability.",Non-energy use,In force,2023,,,,Mitigation,22/02/2024,2,2,2,2,2
89,Environmental Transformation Fund (ETF),Environmental Transformation Fund (ETF) United Kingdom (2007),Country,Grants and subsidies,"Electricity and heat, Buildings",,"Renewables, Energy efficiency",Ended,2007,,2011,Unknown,Mitigation,,3,3,3,5,3.6
90,Exemption Congestion Zone,Exemption Congestion Zone United Kingdom (2017),City,Tax relief,"Transport, Low-emissions mobility","All purely electric cars, vans and other vehicles are currently Congestion Charge-exempt, because they have zero tailpipe emissions. This means if you purchase a fully electric vehicle, you won’t have to pay the London Congestion Charge. Plug-in hybrid-electric vehicles (PHEVs) are also Congestion Charge exempt, as none currently on sale exceeds the 75g/km limit. Hybrid cars aren't automatically Congestion Charge exempt. It depends on the model and trim level in question. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2017,,,Unknown,Mitigation,,2.5,2.5,2,5,3.15
91,Exemption from Climate Change Levy for Good Quality CHP,Exemption from Climate Change Levy for Good Quality CHP United Kingdom (2001),Country,Fiscal or financial incentives,"Electricity and heat, Industry","The Climate Change Levy (CCL) was introduced by the UK Government in 2001 and is charged on most non-domestic supplies of energy used as fuel for lighting, heating and power. The CCL is designed to promote energy efficiency and encourage investment in energy saving equipment, thereby reducing emissions of greenhouse gases. CHP stations are energy efficient in operation providing very significant fuel savings, and therefore offer cost and efficiency savings over conventional forms of electricity generation and heat supply. Favourable treatment under the CCL legislation is given to a CHP station where it is: registered with the Department for Business, Energy & Industrial Strategy (BEIS) CHP Quality Assurance Programme certified annually under that programme covered by a valid CCL Exemption Certificate issued by the Secretary of State IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2001,,,Unknown,Mitigation,,3,2,5,1,2.5
92,Feed-in Tariffs for renewable electricity,Feed-in Tariffs for renewable electricity United Kingdom (2010),Country,Feed-in tariffs or premiums,"Electricity and heat, Renewables","This policy applies to hydropower, anaerobic digestion, wind and solar PV technologies under 5MW. The FiT lasts between 10 and 25 years, according to the technology. A scheme was also implemented for micro CHP (end of application period on 31 March 2019: https://energysavingtrust.org.uk/renewable-energy/electricity/micro-chp).
For details, refer to the sources below.",Renewables,In force,2010,,,Unknown,Mitigation,,5,5,2,1,3.2
93,Finance Act,Finance Act United Kingdom (2011),Country,CO2 taxes,"Electricity and heat, Coal, Gas, Oil",Legislative,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",In force,2011,,,Unknown,Mitigation,,4,4,5,1,3.3
94,Finance Act,Finance Act United Kingdom (2020),Country,"Economic instruments, CO2 taxes, Energy and other taxes",General,"The Financial Act brings the rates of the climate change levy for April /2021 onwards in its article 93. These changes reflect the changes in the fuel mix used in electricity generation.
The schedule 12 outlines modifications in the policy framework regarding the Carbon emission tax following the UK withdrawal from European Union. ",Unknown,In force,2020,2021,,Unknown,Mitigation,01/05/2021,2.5,2.5,5,2,2.85
95,Fluorinated greenhouse gases regulation,Fluorinated greenhouse gases regulation United Kingdom (2015),Country,"Regulatory Instruments, Other mandatory requirements",Industry,"This policy sets out rules and requirements for the manufacturing of products involving fluorinated gases, with the goal of reducing levels by 80% in 2035. This will be achieved by phasing down the amount of F-gases that can be placed on the market through gradually reducing quotas for F-gas producers and importers; bans on certain F-gases in some applications; and strengthening of obligations on leak checks, repairs, recovery and training.
The F-gas Regulation is an EU-wide regulation, but a UK specific legislation covering F-gas emissions was passed in 2019, ensuring the continuation of emission reductions beyond the UK’s exit from the EU.",Energy service demand reduction and resource efficiency,In force,2015,,,High,Mitigation,01/01/2022,5,3,2,3,3.2
96,Fuel Economy labels for cars,Fuel Economy labels for cars United Kingdom (2001),Country,"Voluntary approaches, Performance label",Transport,,Energy efficiency,In force,2001,,,Unknown,Mitigation,,2,2.5,5,3,3.05
97,Gas Boilers Replacement by Low-Carbon Heating Systems,Gas Boilers Replacement by Low-Carbon Heating Systems United Kingdom (2020),Country,Other mandatory requirements,"Buildings, Heating and cooling","Gas boilers in the UK will be replaced by low-carbon heating systems in all new homes built after 2025. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Renewables,Planned,2020,2025,,Unknown,Mitigation,,2.5,2,4,1,2.2
98,Gear Change - A bold vision for cycling and walking,Gear Change - A bold vision for cycling and walking United Kingdom (2020),Country,"Economic instruments, Direct investment, Infrastructure investments, Information and education, Policy support, Strategic planning","Transport, Low-emissions mobility","The government will make available a budget of two billion pounds to build protected cycle lanes, provide cycle training for everyone and and increase access to e-bikes. The plan encompasses also a consult to strengthen the Highway Code for safety purposes and create low traffic neighbourhoods to improve air quality. 
In sum, the strategy's target is to foster walking and cycling by improve street conditions, increase security of people while cycling and through informational programmes to the decision of cycling/walking be firstly considered by citizens.","Energy service demand reduction and resource efficiency, Other low-carbon technologies and fuel switch",In force,2020,2020,,Unknown,Mitigation,01/05/2021,2,2,4,3,2.7
99,Go Ultra Low City Scheme,Go Ultra Low City Scheme United Kingdom (2015),Country,"Regulatory Instruments, Negotiated agreements (public-private sector)","Transport, Low-emissions mobility",The Go Ultra Low City Scheme is a programme by the Office for Low Emission Vehicles within the Department for Transport. It aims to provide funding to local authorities in the UK that encourages thousands of people to consider switching to an electric car.,Other low-carbon technologies and fuel switch,In force,2015,,,Unknown,Mitigation,,2,5,3,4,3.7
100,Go Ultra Low City Scheme - London,Go Ultra Low City Scheme - London United Kingdom (2015),City,"Infrastructure investments, Grants and subsidies","Transport, Low-emissions mobility","Municipal application of the Go Ultra Low City Scheme (GULCS). London’s bid was awarded £13m in capital funding to drive the uptake of ultra-low emission vehicles in the period 2015/16 - 2019/20. The bid was ambitious, wanting London to become the “Go Ultra-Low emission vehicle Capital”.",Other low-carbon technologies and fuel switch,In force,2015,,,Unknown,Mitigation,,3,3,2,5,3.4
101,Go Ultra Low Partnership Between Government and OEMs,Go Ultra Low Partnership Between Government and OEMs United Kingdom (2015),Country,"Information provision, Negotiated agreements (public-private sector)","Transport, Low-emissions mobility","Go Ultra Low is a ground-breaking joint government and car industry campaign – supported by the Society for Motor Manufacturers and Traders (SMMT) and the government’s Office for Low Emission Vehicles (OLEV). The aim of the campaign is to provide all the facts and information needed to make an informed decision about switching to an electric vehicle (EV). Through education and information this campaign will help determine the vehicle that fits each indivduals needs. Additional information is provided to help select an EV-friendly tariff and charge at home system. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2015,,,Unknown,Mitigation,,4,2.5,2,3,2.85
102,Government Buying Standards,Government Buying Standards United Kingdom (2011),Country,Procurement rules,General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",In force,2011,,,Unknown,Mitigation,,5,2,3,2,2.8
103,Green Bus Fund,Green Bus Fund United Kingdom (2010),Country,Fiscal or financial incentives,"Transport, Heavy-duty vehicles",,"Energy efficiency, Other low-carbon technologies and fuel switch",In force,2010,,,Unknown,Mitigation,,2,2,2,3,2.3
104,Green Deal,Green Deal United Kingdom (2013),Country,"Grants and subsidies, Loans, Direct investment","Electricity and heat, Renewables",,Renewables,In force,2013,,,Unknown,Mitigation,,5,3,2,4,3.5
105,Greening Finance: A Roadmap to Sustainable Investing,Greening Finance: A Roadmap to Sustainable Investing United Kingdom (2021),Country,"Policy support, Strategic planning",General,"This roadmap is part of a larger plan to green finance in the UK. It sets out a strategy to deliver on phase 1 of the plan, which is informing investors and consumers – addressing the information gap for market participants, ensuring a flow of decision-useful information on environmental sustainability from corporates to financial market participants. Following phases of the plan will include acting on the information, and shifting financial flows.","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",In force,2021,,,,Mitigation,01/01/2022,2.5,4,5,5,4.2
106,Heat and Buildings Strategy,Heat and Buildings Strategy United Kingdom (2021),Country,"Policy support, Strategic planning, Target",Buildings,"This strategy aims to decarbonize the UK's buildings heating sector by replacing gas boilers with heat pumps and increasing the rate of retrofits. It is based on five core principles:
1. To take a whole-buildings and whole-system approach to minimise costs of decarbonisation
2. Fostering innovation
3. Accelerate action now by prioritizing buildings with low energy performance through retrofiting
4. Providing the right long-term signals through regulatory changes
5. Supporting the transition for vulnerable households",Energy efficiency,In force,2021,,,High,Mitigation,01/01/2022,2,3,5,1,2.6
107,Heat Pump Investment Roadmap: Leading the way to net zero,Heat Pump Investment Roadmap: Leading the way to net zero United Kingdom (2023),Country,"Economic instruments, Fiscal or financial incentives, Grants and subsidies, Loans, Regulatory Instruments, Codes and standards, Building codes and standards",Electricity and heat,"The Heat Pump Investment Roadmap aims to significantly increase the deployment of heat pumps, from 55,000 installations in 2021 to 600,000 installations annually by 2028. This initiative involves a comprehensive package of policies, including targeted regulation and public investment schemes, to attract necessary investments.","Energy efficiency, Renewables",In force,2023,,2028,,Mitigation,23/02/2024,2,2.5,3,3,2.65
108,Highways England Chargepoint Network,Highways England Chargepoint Network United Kingdom (2015),Subnational region,Infrastructure investments,"Transport, Low-emissions mobility","Highways England has £15m to expand the existing rapid chargepoint network to ensure that across 95 per cent of the strategic road network there will be a chargepoint at least every 20 miles. As part of this, Government will be working with Highways England to understand current and future demand on England’s strategic road network. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2015,,,Unknown,Mitigation,,4,2.5,4,1,2.65
109,Home Energy Scotland,Home Energy Scotland United Kingdom (2008),Subnational region,Information provision,Buildings,"The Home Energy Scotland Advice Network consists of of local advice centres covering all of Scotland. Expert advisors offer free advice on energy saving, keeping warm at home, renewable energy, greener travel, cutting water waste and more. Funded by the Scottish Government and managed by the Energy Saving Trust, its mission is to help people in Scotland create warmer homes, reduce their bills and help tackle climate change. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,In force,2008,,,Unknown,Mitigation,,2.5,5,4,3,3.7
110,Hydrocarbon Oil Duties Act,Hydrocarbon Oil Duties Act United Kingdom (1979),Country,Energy and other taxes,"Transport, Industry, Agriculture and forestry, Buildings","Applies to liquid fuels (including bioethanol and biodiesel), as well as to LPG and natural gas (including biogases) when used as motor and heating fuels (OECD 2019).","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",In force,1979,,,Unknown,Mitigation,,3,2,4,4,3.2
111,Hydrogen Investment Roadmap 2023,Hydrogen Investment Roadmap 2023 United Kingdom (2023),Country,"Economic instruments, Fiscal or financial incentives, Grants and subsidies, Loans",Electricity and heat,"The Hydrogen Net Zero Investment Roadmap provides an overview of government policies and investment opportunities in hydrogen. It highlights the UK's ambition to develop a low-carbon hydrogen economy, playing a vital role in achieving net zero emissions across various sectors.",Renewables,In force,2023,,,,Mitigation,23/02/2024,2,5,4,4,3.9
112,Hydrogen Investor Roadmap,Hydrogen Investor Roadmap United Kingdom (2022),Country,"Policy support, Strategic planning","Transport, Industry, Electricity and heat","This strategy is a follow-up to the UK's Hydrogen Strategy, and it increases the 2030 capacity target from 5GW to 10GW.",Other low-carbon technologies and fuel switch,In force,2022,2022,,,Mitigation,30/01/2023,4,2,5,3,3.3
113,Hydrogen Strategy,Hydrogen Strategy United Kingdom (2021),Country,"Policy support, Strategic planning, Target","Electricity and heat, Renewables, Industry, Transport","This strategic policy document sets out a target of 5GW of low-carbon hydrogen production capacity in the UK by 2030. According to the government, the use of low carbon hydrogen enabled by 5GW production capacity could deliver total emissions savings of around 41MtCO2e between 2023 and 2032, equivalent to the carbon captured by 700 million trees over the same time period.","Other low-carbon technologies and fuel switch, Renewables",In force,2021,2021,2030,High,Mitigation,01/01/2022,5,3,2,1,2.6
114,Indicative National Energy Efficiency Target,Indicative National Energy Efficiency Target United Kingdom (2014),Country,Formal & legally binding energy efficiency target,General,"The UK has set its indicative national energy efficiency target on the basis of final energy consumption. This means the indicative target is 129.2 MTOE on a net calorific basis, which would amount to an 18% reduction (28.5 MTOE) from the UK's 2007 business as usual project projection for 2020. This indicative target has been set taking into account the overarching European goal of reducing energy consumption by 20% relative to 2007 PRIMES projection of 2020 demand. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,Ended,2014,,2020,Unknown,Mitigation,,4,2,2,1,2.1
115,Industrial Decarbonisation Strategy,Industrial Decarbonisation Strategy United Kingdom (2021),Country,"Economic instruments, Direct investment, RD&D funding, Fiscal or financial incentives, CO2 taxes, Performance label, Policy support, Strategic planning, Codes and standards, Product standards",Industry,"This strategy outlines the UK government's strategy to decarbonisation in key industrial sectors such as metals and minerals, chemicals, food and drink, paper and pulp, ceramics, glass, oil refineries and less energy intensive manufacturing.
The government aims to enable the transition to a low carbon economy within the industrial sector. The policy framework outlined encompasses carbon pricing, funding mechanisms to technology development and the adjustment of the policy framework to stimulate the uptake of fuel switching. Also, the government aims at getting consumers to choose low carbon products by setting products standards and labelling. ","Energy efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",In force,2021,2021,,High,Mitigation,01/05/2021,4,3,3,3,3.2
116,Industrial Energy Transformation Fund,Industrial Energy Transformation Fund United Kingdom (2018),Country,"Fiscal or financial incentives, Grants and subsidies",Industry,"The Industrial Energy Transformation Fund (IETF) is designed to help businesses with high energy use to cut their energy bills and carbon emissions through investing in energy efficiency and low carbon technologies. The government announced £315 million of funding in the 2018 Budget, available up until 2025.","Energy efficiency, Energy service demand reduction and resource efficiency",In force,2018,2018,2025,,Mitigation,01/01/2022,2.5,3,5,1,2.7
117,Industrial Heat Recovery Support programme,Industrial Heat Recovery Support programme United Kingdom (2018),Country,"Fiscal or financial incentives, Grants and subsidies",Industry,The Industrial Heat Recovery Support (IHRS) programme was designed to encourage and support investment in heat recovery technologies. This means helping businesses identify and invest in opportunities for recovering and reusing heat that would otherwise be wasted.,"Energy efficiency, Energy service demand reduction and resource efficiency",In force,2018,,,,Mitigation,01/01/2022,5,3,5,3,3.8
118,International Climate Finance Strategy 2023,International Climate Finance Strategy 2023 United Kingdom (2023),Country,"Economic instruments, Direct investment, Funds to sub-national governments",General,"The UK International Climate Finance Strategy details the government's pledge to double its International Climate Finance commitments to £11.6 billion between 2021 and 2026. This strategy emphasizes allocating funds towards solutions that protect and restore nature, alongside supporting mitigation and adaptation measures in developing nations.","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",In force,2023,2021,2026,,Mitigation,23/02/2024,3,2.5,5,5,3.85
119,Jet Zero Strategy,Jet Zero Strategy United Kingdom (2022),Country,"Policy support, Strategic planning",Transport,This strategy sets out a framework for the UK to reach its goal of a net zero aviation sector by 2050. It includes a short term plan with priority actions to reach the long-term goal.,"Energy efficiency, Energy service demand reduction and resource efficiency, Other low-carbon technologies and fuel switch, Renewables",In force,2022,2022,2050,,Mitigation,30/01/2023,5,3,2,3,3.2
120,Kigali Amendment on HFCs,Kigali Amendment on HFCs United Kingdom (2017),Country,"Target, GHG reduction target","Industry, Fluorinated gases","With the ratification of the Kigali Amendment, group I parties commit to peak HFCs consumption by 2019 and reduce it to 15% of 2012 levels by 2036","Energy service demand reduction and resource efficiency, Non-energy use",In force,2017,,,Unknown,Mitigation,05/05/2022,5,2.5,2,5,3.65
121,Landlords Energy Saving Allowance (LESA),Landlords Energy Saving Allowance (LESA) United Kingdom (2004),Country,"Tax relief, Grants and subsidies","Buildings, Heating and cooling",,Energy efficiency,In force,2004,,,Unknown,Mitigation,,2,3,5,1,2.6
122,Large-scale PV Demonstration Project,Large-scale PV Demonstration Project United Kingdom (2002),Country,"Monitoring, Grants and subsidies, Demonstration project, Technology development, Auditing","Electricity and heat, Renewables",,Renewables,Ended,2002,,2007,Unknown,Mitigation,,2.5,5,4,3,3.7
123,London ULEV Delivery Plan,London ULEV Delivery Plan United Kingdom (2015),City,Infrastructure investments,"Transport, Low-emissions mobility","Transport for London’s July 2015 ULEV Delivery Plan committed to deliver 300 rapid charge points by 2020, with 150 by 2018, to meet the expected demand from taxis and commercial fleets. The government is supporting this ambition with a total of £12.6m of funding. Many chargepoints will be introduced by Local Authorities and the private market in England or London in the coming years. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2015,,,Unknown,Mitigation,,2.5,5,2,4,3.6
124,Long-term Investment in Ultra Low Emission Vehicles in the UK,Long-term Investment in Ultra Low Emission Vehicles in the UK United Kingdom (2015),Country,"RD&D funding, Strategic planning, Regulatory Instruments","Transport, Low-emissions mobility","The government will spend more than £600 million between 2015-16 and 2020-21 to support uptake and manufacturing of ultra-low emission vehicles (ULEVs) in the UK, maintaining the global leadership that has seen 1 in 4 of all European electric vehicles built here and keep the UK on track for all new cars to be effectively zero emission by 2040. This investment will save 65 million tonnes of carbon and help deliver the Long-Term answer on urban air quality. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2015,,,Unknown,"Mitigation, Air pollution",,4,2,2,2,2.4
125,Low Carbon Buildings Programme,Low Carbon Buildings Programme United Kingdom (2006),Country,"Research & Development and Deployment (RD&D), Information provision, Grants and subsidies","Electricity and heat, Buildings",,"Renewables, Energy efficiency",Ended,2006,,2010,Unknown,Mitigation,,2,5,5,3,3.8
126,Low Carbon Industrial Strategy (LCIS),Low Carbon Industrial Strategy (LCIS) United Kingdom (2009),Country,"Infrastructure investments, Procurement rules, Grants and subsidies, Loans, Advice or aid in implementation, Information provision, Policy support, Strategic planning, Research & Development and Deployment (RD&D), Demonstration project, Technology deployment and diffusion, Technology development","Electricity and heat, Renewables, Buildings, General",,"Renewables, Energy efficiency",Ended,2009,2009,,Unknown,"Mitigation, Economic development",,4,3,2,5,3.6
127,Low Carbon Transition Plan,Low Carbon Transition Plan United Kingdom (2009),Country,"Direct investment, Grants and subsidies, Policy support, Institutional creation, Strategic planning, Regulatory Instruments, Research & Development and Deployment (RD&D)","Electricity and heat, Renewables, Buildings, General",,"Renewables, Energy efficiency",Ended,2009,,,Unknown,"Mitigation, Adaptation, Energy security, Economic development",,2,2,2,5,2.9
128,Low Carbon Transport Innovation Strategy,Low Carbon Transport Innovation Strategy United Kingdom (2007),Country,"RD&D funding, Research & Development and Deployment (RD&D)",Transport,Executive,"Energy efficiency, Other low-carbon technologies and fuel switch",In force,2007,,,Unknown,Mitigation,,4,2,5,2,3
129,Low Carbon Transport Strategy,Low Carbon Transport Strategy United Kingdom (2009),Country,"Codes and standards, Advice or aid in implementation, Information provision, Energy and other taxes, Grants and subsidies, Policy support, Procurement rules, Demonstration project, Technology development, Regulatory Instruments, Strategic planning","Transport, Light-duty vehicles, Heavy-duty vehicles",,"Energy service demand reduction and resource efficiency, Energy efficiency, Other low-carbon technologies and fuel switch, Renewables",Ended,2009,,,Unknown,Mitigation,,2.5,5,4,4,4
130,Low Carbon Vehicle Innovation Platform (LCVIP); Ultra Low Emissions Vehicles (ULEV) Programme,Low Carbon Vehicle Innovation Platform (LCVIP); Ultra Low Emissions Vehicles (ULEV) Programme United Kingdom (2014),Country,Demonstration project,"Transport, Low-emissions mobility","LCVIP promoted UK-based R&D and showcased vehicle technologies through demonstrations and road trials. The ULEV programme's aim was “to cement the UK’s position as a leader” in the development of ULEVs. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2014,,,Unknown,Mitigation,,2,3,2,2,2.3
131,Low Emission Bus Scheme,Low Emission Bus Scheme United Kingdom (2014),Country,Grants and subsidies,"Transport, Low-emissions mobility, Heavy-duty vehicles","The LEBS scheme was announced in April 2014. It aims to: increase the take up of low and ultra-low emission buses, speeding up the transition to an ultra-low emission bus fleet in this country; help improve local air quality in our towns and cities. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2014,,,Unknown,"Mitigation, Air pollution",,2,2,3,2,2.2
132,Low Emission Zone (LEZ) London,Low Emission Zone (LEZ) London United Kingdom (2008),City,Energy and other taxes,"Transport, Low-emissions mobility, Heavy-duty vehicles, Light-duty vehicles","The Low Emission Zone (LEZ) operates to encourage the most polluting heavy diesel vehicles driving in London to become cleaner. The LEZ covers most of Greater London and is in operation 24 hours a day, every day of the year.",Other low-carbon technologies and fuel switch,In force,2008,,,Unknown,"Mitigation, Air pollution",,2,4,4,1,2.7
133,Major PV Demonstration Programme,Major PV Demonstration Programme United Kingdom (2002),Country,Grants and subsidies,"Electricity and heat, Renewables",,Renewables,Ended,2002,,,Unknown,Mitigation,,2.5,3,4,5,3.7
134,Mandatory Climate Information Reporting for Companies,Mandatory Climate Information Reporting for Companies United Kingdom (2022),Country,"Regulatory Instruments, Obligation schemes",Industry,This policy sets out a new regulatory scheme for large businesses to report on climate related information and financial risk. The regulations were made on 17 January 2022 and apply to reporting for financial years starting on or after 6 April 2022.,"Energy efficiency, Energy service demand reduction and resource efficiency, Other low-carbon technologies and fuel switch, Renewables",In force,2022,,,,Mitigation,30/01/2023,5,2.5,4,2,3.15
135,Marine Research Development Fund (MRDF),Marine Research Development Fund (MRDF) United Kingdom (2005),Country,"Technology deployment and diffusion, Demonstration project","Electricity and heat, Renewables",,Renewables,Ended,2005,,,Unknown,Mitigation,,2,4,3,3,3.1
136,"Market Transformation Programme, including Energy Labelling for Appliances","Market Transformation Programme, including Energy Labelling for Appliances United Kingdom (1997)",Country,"Endorsement label, Regulatory Instruments",Buildings,"The UK's Market Transformation Programme (MTP) effective since 1997 undertakes policy research, development and support projects that aim to bring forward products, systems and services that do less harm to the environment, using less energy, water and other resources over their lifetime. The MTP provides strategic support to a growing set of product policies. These aim to encourage resource efficiency through the development of supply-chain measures such as reliable product information, raising minimum standards and encouraging best practice and where consensus and joined-up thinking is essential to establish priorities and to deliver practical policies. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,In force,1997,,,Unknown,Mitigation,,2.5,5,4,5,4.3
137,Markets for nature policy framework,Markets for nature policy framework United Kingdom (2023),Country,"Policy support, Strategic planning, Regulatory Instruments, Codes and standards, Sectoral standards, Monitoring",Agriculture and forestry,"The Nature Markets Policy Framework aims to boost private investment in nature recovery and sustainable farming. It outlines measures to guide and support the development of nature markets, emphasizing integrity and principles to foster trust and confidence, crucial for sustainable market growth.",Renewables,In force,2023,,,,Mitigation,23/02/2024,3,2,5,2,2.8
138,Microgeneration Strategy,Microgeneration Strategy United Kingdom (2006),Country,"Grants and subsidies, Strategic planning, Technology development","Electricity and heat, Buildings",,"Renewables, Energy efficiency",Ended,2006,,,Unknown,Mitigation,,3,2,2,1,1.9
